Title,Review
"Perfect movie, no wrongs.","It'll be boring if I'm just gonna talk about how this movie is great, so I just leave it here.6 out of 10 found this helpful.Was this review helpful?Sign into vote.Permalink"
Best movie of the year (2019),"Very unique story cinematography is amazing, Story is of a normal man who struggle in his entire life for making a good career in comedy but he took the other way in his life.6 out of 10 found this helpful.Was this review helpful?Sign into vote.Permalink"
Jokerrrrrrrrr!!!!!,"This is a story about essence. Essence where emotions, mentality and society forces a man to change himself into a dark sided character.
This is about how a poor low class man becomes one of the world's highly rated comic criminal, known as the Joker. It is a beginning into the batman movie and series, and is a must see for all comic/batman fans.Put on a smile and, watch the movie. 😁6 out of 10 found this helpful.Was this review helpful?Sign into vote.Permalink"
Poetry in motion....,"Simply put, an absolute masterpiece! In fact, it's so good, that I would place this film in my top 10 of all time. Joaquin Phoenix must get an Oscar for his performance, to say it was sublime is an understatement. From start to finish, I was mesmerised by the cinematography, music, characterisation (Joker) storyline, and the ending!A breathtaking film!6 out of 10 found this helpful.Was this review helpful?Sign into vote.Permalink"
Genius,Well scripted casted directed and performed.. credit to the director todd philips guys a genius.. and 2 cast joaquin pheonix the most underrated actor in hollywood.. A masterstroke.. this is a movie that cinema fans movie fanatics have been yearning for something different and unique look at life from a different perspective.. Best film best actor.. An outstanding contribution to cinema Thank you 😊6 out of 10 found this helpful.Was this review helpful?Sign into vote.Permalink
A true masterpiece!,"This is the kind of movie you only see once per decade or so and realize that you are watching a future classic/masterpiece of art.
J.Phoenix is hypnotizing to watch and deserves two Oscar statuettes if that was possible for his performance as Arthur/Joker.
Also Todd Phillips deserves an Oscar for both the directing and the writing of this movie.
A true masterpiece and a must watch. Speechless for any other word to describe this movie. 10/10!6 out of 10 found this helpful.Was this review helpful?Sign into vote.Permalink"
Fabulous,"I was blown away by the phenomenal performance of Joacquin Phoenix, absolutely top acting !!6 out of 10 found this helpful.Was this review helpful?Sign into vote.Permalink"
More Than Great,"I can't believe that this just an act or just a movie
Joaquin Phoenix deserves the oscar6 out of 10 found this helpful.Was this review helpful?Sign into vote.Permalink"
Best film I've seen for some time,"Great acting, awesome atmosphere, fantastic music and an all great round film. I've never reviewed a film before but I found this film to excel my expectations despite taking a different direction to what I was expecting.6 out of 10 found this helpful.Was this review helpful?Sign into vote.Permalink"
Perfect,Perfect and joker 2019 is very good thank you very much6 out of 10 found this helpful.Was this review helpful?Sign into vote.Permalink
Movie of the year,"The best movie i have ever seen in my life,honestly this movie shows real things with the best way possible.Good work DC continue like that STRONG!!!6 out of 10 found this helpful.Was this review helpful?Sign into vote.Permalink"
Masterpiece,I don't remember the last time I was so emotionally attached to a movie. This is one of the best movies I've ever watched and I'm so happy I got a chance to see it in a theatre. Perfect.6 out of 10 found this helpful.Was this review helpful?Sign into vote.Permalink
The stuff,"This was easily the best movie I have seen in so long. It is pure art from the beginning to the end. From the camerawork, to the plot, to the acting, this movie is far better than any of the junk on the market right now. It's worth Every single penny trust me. So good. So good. Sweet Caroline so good. Enjoy this once in a. Lifetime experience boys and girl/z. You won't regret it mwah6 out of 10 found this helpful.Was this review helpful?Sign into vote.Permalink"
One of the best movies i've ever watched.,This is one of the best movies ever made in my opinion. I got chills when i left the cinema. I absolutely recommend this movie for everyone!6 out of 10 found this helpful.Was this review helpful?Sign into vote.Permalink
The making of a falling legend!,"This should have been the title of the movie. This is by far... the best ""the making of"" film in movie history yet.For a character that is well known and one that everyone has an opinion off, no one definitely knows how this character came to being. This version of the character development is by far the best version so far, for so many reasons.For one. Joaquin Phoenix is brilliant in this role. He embodies the very essence of what the joker has been through, through the ages, to become who he is.The script and direction of this movie is brilliant. It even gives glimpse into the very reality of why the Gotham universe is the way it is. There are so many moments in this movie that makes one realise the universe of Gotham and Batman, Of why they lead to certain events.For those batman fans who grew up reading the comics... you're in for a real treat! The screenplay and direction is superb in telling a story of the joker that develops its roots of what makes him over the edge, while also dropping crucial points on what could influence the becoming of other characters. ... things a lot of us have never realised were even connected.I can't wait for batman now and I truly can't wait for the next time batman and joker meet in this universe created by Todd Phillips. Here's hoping they do, coz I truly can't wait to see the outcome knowing what I know now, about their becoming.This is truly a film not to miss, for those new to the genre but truly love movies of substance and character, and for those who truly love the Batman universe. Go watch it now!"
the joker is human!!,"I think after ledger, that every great actor wants to play this part, todd phillips asked joaquin and here whe are!
a briljant movie... will be blowing minds for a long time...nuff said6 out of 10 found this helpful.Was this review helpful?Sign into vote.Permalink"
"The film shines a mirror on society, and society does not like what it sees.","There is so much that can be said about this spectacular film. Those who call it boring or dismiss it for being too violent are doing their best to quantify a piece of art they are not able to completely understand. Ennui only comes through disinterest and emotional/intellectual distance. The subtleties of Phoenix's performance to some, are undercut by his denial that he did not have to give himself to the role as much as previous Jokers have had to. People want a story of struggle and pain ending with high accomplishment. But the actor achieves this with skill and mastery of his craft. I'd watch the film again and again just to enjoy how Phoenix deftly makes be believe and empathise with a sociopath, a victim of circumstance in this interpretation.Brilliant cinematography and self-conscious homages to classic Scorsese masterpieces are testament to the wider scope Joker seeks to reach. The public seem so worried about how this film could incite violence and negative behaviour. My appreciation for the artistic calibre of this film resides it its ability to incite such controversy and opinion. Instead of shouting at the screen ask yourself why you feel the way you do and question your own tendencies rather than seek to project your insecurities on the world. What a film!"
Joaquin Phoenix IS Joker.,"There have been many a Joker - from live action adaptations and animated adaptations - and this one, by Joaquin Phoenix, is the best one next to Heath Ledger's Joker. With this film released late in the year, perhaps Phoenix is a shoo-in for Best Actor. An excellent character study of a man battling a plethora of mental illnesses. Also, for those who have seen this movie, one question remains: How much of the movie is rooted in reality, and how much of it is in Arthur Fleck's mind? It's difficult to differentiate reality from fantasy.6 out of 10 found this helpful.Was this review helpful?Sign into vote.Permalink"
most important message of tis time - better then Ledger?,"This movie is astonishing,
This movie managed to tie all loose ends. The outstanding acting makes the movie so much more believable and realistic, and every character is designed perfectly and have major role in the plot.
The camera shots in this film are perfect, mostly wide blurred shots slowly creeping in making it so much more disturbing.
Plot - This movie is so disturbing and gritty just as it should be, it shows what really can happen in life when a person with mental health issues or even a healthy person that has hit rock bottom and has no one to help them 'back' up.The message is perfect for the times we live in, in 2019, the rich and healthy should not be separated from the sick and poor; from the mentally challenged. We should live in a society where anyone can be helped and anyone can be heard no matter what level they stand at, before they spiral.6 out of 10 found this helpful.Was this review helpful?Sign into vote.Permalink"
A cinematic achievement in the 100 years of cinema.,"JOKER 2019Joaquin Phoenix, Todd Philips & Scott Silver's JOKER is the ULTIMATE punchline to the 'joke' called society. It is a bold, raw, devastating and hauntingly beautiful character study, a social commentary and a flawless masterpiece - a cinematic achievement in the 100 years of cinema. It unfolds very very slowly but as it does, it punches you in the guts, punches you hard.Let me go back to one and a half year or more ago when they announced the movie. Being a hardcore Joker fan, I wasn't overly excited as I knew (as did everyone) that it is not possible to outdo Heath Ledger's performance as Joker. I was still intrigued as I heard Martin Scorcese was involved and Joaquin Phoenix was cast as the role with Robert De Niro in it. I wanted that different, crime-driven version. Then, over the course of last 12 months LOTs and LOTs of leaked photos and behind-the-scenes footages came out, and I wasn't quite liking what I saw. The production team seemed lazy as per security and keeping secret, something someone like Christopher Nolan wouldn't do. Then I heard that the script was being rewritten almost every day (which is usually a recipe for disaster) and my expectations were further down and it wasn't even my most anticipated this year, then there was the matter of confidence on Director Todd Philips who directed the crime-driven comedy 'The Hangover'. THEN, the unexpected happened and we got to see the first trailer and the second. And then, last month, the reviews came in, the movie won an 8 minute standing ovation from Venice Film Festival screening and won the 'Golden Lion'. Some of the hardest reviewers gave it full marks and called it either a masterpiece, or a cinematic achievement, or that a comic book movie has never been done in such way, and this opens up new doors and changes the movie industry forever. Well....whatever you heard and read are all true.Joaquin Phoenix gave a performance that cannot be described in words, even if I talk about it in person I will fail to describe it. I have never seen any performance like this, and I watch a LOT of cinemas. He did something impossible to the character that left us all awestruck and in disbelief. His version of Joker is of course different (the greatness of Joker character is - it is multi layered and can be approached in different ways) but if I'd have to compare it, it goes on par with Heath Ledger's Joker or maybe even outshines him. If I consider the best actors (Oscar Winners) for the last few years namely, Matthew Mcconaughey, Mahershala Ali, or Rami Malek, they were all brilliant but Phoenix outshines them all (little known fact, Phoenix did almost all his shots in single takes :O). Joaquin Phoenix has BECOME Joker. My sincere gratitude to Todd Philips, as whatever rewrites and plans he did, it came out as a beautiful bright art. It took him a whole year to convince Warner Brothers to greenlight the movie and 5 visits to Joaquin Phoenix's house to convince him. His depiction of Gotham city is raw, filthy and perfect. Cinematography also is Oscar worthy and so is the story. Hildur Guðnadóttir's unforgettable score for the movie not only is a perfection but it almost literally talks to you during moments, especially during times when you're confused as to what is going on inside Arthur Fleck's (Joker) mind.Joaquin Phoenix's Joker will sadden you, cheer you, scare you, haunt you, and finally leave you scarred. Yes this movie is not for everyone and of course children should definitely avoid it. In the end, you will not know how much of it you can believe or was real, it leaves you to your imagination. So if you think this Joker has a definitive origin as opposed to Heath Ledger's mysterious Joker.....wrong, it leaves you to interpret it on your own way. When there is chaos we always try to point it all to someone, in JOKER though you wouldn't know whether you should point you finger to the society or Joker himself. When everything spirals out of control do you still endure it, or do you cross that thin line, or do you put a bullet through your head, what would YOU do given the same situation, because Arthur Fleck is one of us. Therein lies the mastery of the movie. During the final punchline of it you will roar as we all did - WE ARE ALL CLOWNS, LET'S PUT ON A HAPPY FACE.As Arthur would say ""I used to think my life was a tragedy, now I know it's a comedy"", apart from what this line represents, the final shot of the movie ends with a comedy. This movie will win multiple awards and Oscars as per my prediction and will be talked about for years. Indeed, one of the greatest cinematic achievement created with a $ 55 million budget. Don't wait for blu-ray, run to the theaters and believe me, it is worth every single penny of yours. This movie is disturbingly real, and relatable.I've seen it 3 times already and still stuck with the HAHAs in my head. I'm giving it a 10/10."
Still processing the movie (it's very good),Watched Joker in the cinema a couple of hours ago and am still processing it. It's not the movie you expect but rather way better than you would expect. You won't feel happy watching this movie as the story is about a struggling man. The acting and bizarre movement of Arthur is just perfect. This is a must watch as it will most likely make you feel the need to process what you just experienced.6 out of 10 found this helpful.Was this review helpful?Sign into vote.Permalink
Masterpiece - Joaquin deserves the Oscar,"Best Movie of the year. A must see for all cinema fans. Joaquin's performance is mind blowing. Joker is ""the rare comic book movie that expresses what's happening in the real world"". I see it as a good representation for today's bullying and how evil, we are as human beings.6 out of 10 found this helpful.Was this review helpful?Sign into vote.Permalink"
In the presence of true genius,"I left the theater stunned speechless. There really isn't an adequate way to describe Phoenix's genius portrayal of the Joker. I can say there were an abundance of moments when the hair on my arms literally stood up, moments when I could not breathe. See this movie for no other reason than to watch the mastery of his work. We will never meet or know a character like Joker, but Phoenix will bring you as close as you can be to true madness without losing your life. If he does not receive the Oscar for this role, it is only because of fear.6 out of 10 found this helpful.Was this review helpful?Sign into vote.Permalink"
What a high!,"A roller coaster. Not a second of this film left us wanting, it was possibly one of the best films I've ever seen. The Joker is just an amazing character.6 out of 10 found this helpful.Was this review helpful?Sign into vote.Permalink"
Fantastic,Being a guy that's only hobby is to watch movies I can say that this is one of the best movies I've seen in the last 30 years6 out of 10 found this helpful.Was this review helpful?Sign into vote.Permalink
Wow.,"This movie is a masterpiece. Joaquin Phoenix did an amazing job, and he totally has to get an Oscar for it! Best movie I have ever seen!6 out of 10 found this helpful.Was this review helpful?Sign into vote.Permalink"
Send in the Clowns,"Scrolling down Instagram and Facebook you might come across this quote ""Put on a happy face"", ""Whenever happens you should smile"" and this quotes are the main theme of JOKER. The film begins with Arthur aka joker laughing and you can feel every emotion joker's laugh had except the emotion of happiness cause joker is not happy from inside and that's why he is going under 7 medications even though if it's not helping him. Acting - Acting is top notch, it's something you might have never seen before. Joaquin phoenix is quite old in age and that's why in close up you can see linings on his face and you can see how those linings make his laugh, and sadness more effective. With facial expressions there are macro expressions which you can notice on close up and those macro expressions shows the class of acting this guy has done. Music - Background music is top notch the song ""Send in the clowns"" fits perfectly with the theme and in some part the background score so perfect that it glorify the scene for example the scene where Arthur is checking his gun n there is this music played in TV shows which helps to intensify the mood. Makeup and lighting is even perfect after The dark knight if there's something everyone was talking the most after heath ledger's acting then it's his makeup. He himself did the makeup so it can be realistic and in this Joker makeup is good, simple, subtle and perfect according to the script, some small details makes you a fan of the make up artist like painting a kind of tear drop under the eye bags and at some places the right eye's blue colour is slightly spread because of joker's tears. The lighting makes you feel it's a 90's setting and dark film. Unpredictable storyline - Just like Spiderman far from home this film has lots of surprises for you and you cannot say what will happen next, anything can happen at any point and it is so balanced that you don't feel like there is too many surprises. The first half is quite slow but makes you feel pity over Arthur, the mental and laughing condition of Arthur and the way the people treats him makes you question about your way of treating people like that. The best thing of the film is it hasn't shown Joker has a hero they have shown him, it has shown him as a person who is the biggest villian of Batman and the reason behind his attitude. The film leaves the descision on you wheather what he is doing right or not and everything in the film is perfect and balanced and you cannot argue on that. If you like to see dark film and writes stories or you wanna be an actor then this is a must watch."
Masterpiece,"The movie that you will never forget
The main character was legendary and great
Qoaquin Phoenix i have nothing to say about his iconic performance
Everything is 10/106 out of 10 found this helpful.Was this review helpful?Sign into vote.Permalink"
Loop Movie,"Well, this review will not contain any spoilers, although I must say, if you read it, just don't complain me for this poor society that we live in. This is, with absolutely no doubt, one of the movies of the century, one of the movies that has no precedent, just art, just a true show about the real downsides of this society, and still, humanity keeps failing, over and over again...I already know, that we (humans), don't have the same tastes, the same ideologies, and the same problems, but it's a bit shameful see the younger, just arguing (and with no real arguments whatsoever), that this movie is just boring, non interesting, and non relevant.Sometimes, we have to grow, to understand the real sadness, to understand the madness, the provocative world that we live in, but unfortunately some of the youngest have real problems, and I've already been there.For those who find this movie quite forgettable, just leave the cinema, and continue to see your favourite movies.For those, who can't get the job done (like, reading some info), before the movie session, try to do so on a future visit.Art is art. Madness is madness. And Joker is Joker."
J. P,"So sad movie, so we'll done,. J.P is so good in this roll. I was amazed. You feel him, he's a good person. No feel good movie but a few laughs.Best I seen. #how much can a person take6 out of 10 found this helpful.Was this review helpful?Sign into vote.Permalink"
Austerity in society hitting those most vulnerable.,"A brilliant use of current problems in capitalist societies, sheer the rich want to get even richer and so they demand governments and councils use austerity on the masses to fuel tax cuts for the rich.
One specific result is the cuts to services that help those with mental illness. Hence Joaquin Phoenix's character depends into an abyss from which the Joker emerges.
The dance sequence down the long set of steps to the Glitter Bands Rock and Roll (part 1 & 2), beats anything Fred Astaire could do.If Joaquin Phoenix doesn't get an Oscar for this, then scrap the Oscars.6 out of 10 found this helpful.Was this review helpful?Sign into vote.Permalink"
Brilliant and unexpected!,"The Joker is just brilliant!! the plot of the story is excellent. Deep story touched your soul and make ur mind think! Much respect to the directer Todd Phillips 👏👏 he's just genius! And Joaquin Phoenix is just insane! He deserves to get the Oscar for his Super top performance and great acting in this movie 👌👏.. Also the music was nice.. Everything was great, It is one of the best movies i ever seen in all time, I really enjoyed it and you must watch it if you are looking for real story! Nothing to say more! 🤡6 out of 10 found this helpful.Was this review helpful?Sign into vote.Permalink"
Phenomenal acting by Joaquin Phoenix makes this film A Masterpiece!,"Eversince Phoenix was attached to play the iconic Joker, I was eagerly waiting for this film. I had high expectations in terms of acting in the film and I was completely blown away after seeing it. This film is the best of the year and will be a cult classic in coming years. Direction is near perfect and cinematography is beautifully poetic as expected from a DC movie. You dive into the 80s Gotham and see the world through Arthur's eyes. You witness his transformation into the Joker and the reasons behind it. The end of the movie will make you think what's real and what's fantasy as they say joker has a multiple origin stories. Not sure about Best Picture but expect Academy Award for the Best Actor for Joaquin Phoenix.6 out of 10 found this helpful.Was this review helpful?Sign into vote.Permalink"
Deserve Oscar,"By far the best movie this year. This should be the starting story of creating the Joker. It's supposed to make a new movie where it relaxes that tension and creates a sick mind of something resembling the Heath ledger joker. Where he becomes a psychopath but leads a group of people off the street and is the most evil supervillain. This type of dancing smoke bomb, pistol and all those magician clown stuff that go with it. With some kind of horror puzzle mix, but it hasn't been copied.6 out of 10 found this helpful.Was this review helpful?Sign into vote.Permalink"
An all time classic was just made.,"Loved it. Hard to describe. It is rare these days that they make a movie that is more art than commercial. Phoenix's acting is sublime. He makes you feel familiar with the character. Like you know him personally, feel his pain.
This is going to go down as an all time classics and one of the darkest movies of our era.6 out of 10 found this helpful.Was this review helpful?Sign into vote.Permalink"
A must see Drama\Thriller movie,"It's rare for me to give a movie 10 stars, but Joker is totally worth it.
It is a very strong drama movie that won't let you move your eyes for a second. the music and sounds affects are genius,
adding a lot to the general atmosphere - first when you get to know the Joker
and how everything is going horribly wrong.
It got to the part of the movie that there are supposedly comedy parts, but the director wants you to feel how it is wrong and not really funny.
The movie really make you get to know the joker's personality and creeps you out.
I watched it yesterday and I still get chills up my spine thinking of some of the scenes.6 out of 10 found this helpful.Was this review helpful?Sign into vote.Permalink"
Can you combine a powerful story with a deep drama in a comic book movie?,"Normally, it helps me more to put DC or Marvel movies under a different category from other movies to be fair when I rate them, but this one was really on another level. A great script that gave us a deep story, well-organized chapters, superb acting performance and yes it was based on comics!
Even though it's a slow-paced movie, I didn't feel like there's a slow buildup in any chapters, which is not easy to avoid in these kinds of dark drama movies. Joaquin took the movie to another level, and it's really fair enough to say it's 'Joaquin's movie'. He really made every scene counted on the screen. I can't remember any scene was there just to help the story, not his character. Everything in the movie should be about him, and that's what he did.
When I watched the movie in the cinema, there were mixed emotions between the audience for most of the scenes. You don't know if you should laugh? or feel sad. These stressful situations were greatly made with the help of Joaquin's performance. He was always in control of these kinds of situations and when things require outsourcing support, the soundtrack comes in the right moment. Hildur made a great job by giving the soundtrack theme a character that I felt personally it's a little bit inspired by Hans Zimmer's masterpiece the Dark Knight, but with a more slow pace and dark feel.
I liked how during each chapter there were these scenes that look like some encaustic or painting to recap the joker personality changes.
Some people are saying the story is not 100% loyal to the comic, but what's wrong with that? Make a nice movie and implement all film success factors then I'm more than satisfied.
The only thing that I felt is not 100% complete after watching the movie for the second time is the last 20 min. I think it was necessary for an extra 15 or a maximum of 20 min for the last Joker personality transformation. But maybe the writer wanted to focus on what things that made the Joker as he is instead of the Joker himself. So yeah it's fine.
I know there are obvious ideas that can be reflected in other ones in the Taxi Driver movie, but it's really been used brilliantly. If someone watched the two movies and focused on the last Joker chapter, he will understand why I'm saying that.
It's really hard - without considering the comics' loyalty thing - to not give this film a full mark. It's been years since I watched a deep movie like this one.
I had a big question after I finished the movie, what's wrong in having a good script that leaves the freedom for actors to give a stunning performance in superhero movies? What's wrong with a good deep story instead of just counting on CGI? A lot of people are really starving for a well-written drama superhero movie. I hope Joker can help in this direction."
Fantastic,"Specifically created an account to give this a rating. 10 stars might be too high, but 9 stars felt too low so I will give it 10 stars. The cinematography, music and acting is all absolutely top notch. The movie grips you from start to end, bravo!6 out of 10 found this helpful.Was this review helpful?Sign into vote.Permalink"
Masterpiece,Incredible movie im speechless diffidently deserves to be in top 5 movies !!!!!6 out of 10 found this helpful.Was this review helpful?Sign into vote.Permalink
Movie for Mature Audience,"I'm truly speechless, its a hype which take you to other world.6 out of 10 found this helpful.Was this review helpful?Sign into vote.Permalink"
GOAT,"Best movie ever , the story the acting it makes u feel that he's an important person to you and makes u feel sympathetic about his feelings6 out of 10 found this helpful.Was this review helpful?Sign into vote.Permalink"
Nothing to say#,"Just a Great big 2019 movie....
-
Oscar is Coming, I love it6 out of 10 found this helpful.Was this review helpful?Sign into vote.Permalink"
"Fantastic, extraordinary","This movie deserves an oscar. Breathtaking cinematography. And the acting of Joaquin Pheonix is incredible. The character is evolved beautifully during the movie, I did not want it to end.6 out of 10 found this helpful.Was this review helpful?Sign into vote.Permalink"
Absolutely incredible!,"Joaquin Phoenix truly deserves to win an Oscar for this. To act and perform the way as the ""Joker"" was special! I don't think any other actor could of done it the way he did. He touched everybody's soul and the film has a meaning to it. It gives a chance for people to realise that mental illness is a thing. Never judge a person and to be kind to one another because you just never know what a person is going through.10/106 out of 10 found this helpful.Was this review helpful?Sign into vote.Permalink"
Joaquin Phoenix shines!,"Who does not understand this movie runs blindly through the world ....
A masterpiece!6 out of 10 found this helpful.Was this review helpful?Sign into vote.Permalink"
Work or art,Best movie I've seen in a long time. I didn't think there would ever be another Joker as good as Heath Ledger's adaptation (may he rest in peace) but this movie proved me wrong.6 out of 10 found this helpful.Was this review helpful?Sign into vote.Permalink
I just wanna say,"This movie is an absolute piece of art I've never been Soo happy and thrilled to see a movie until this
it's defrent and real and just amazing6 out of 10 found this helpful.Was this review helpful?Sign into vote.Permalink"
People who understand love this film,"I've heard a handful of people say this is a bad film
That's there opinion fair enough
Joachim Phoenix is amazing in this to the point I think he is a better joker than Heath Ledger which is a bold statement as I loved Heath as the joker
Phoenix takes this role and runs with itI could watch over and over6 out of 10 found this helpful.Was this review helpful?Sign into vote.Permalink"
Oscar-worthy and Movie of the Decade,"This movie is truly a modern masterpiece. Joaquin Phoenix does justice to Joker where Heath Ledger left off. But I wouldn't want to compare both their performances as many have already said, ""It would be like comparing apples to oranges."" But I at least know that Heath Ledger can rest easy in heaven knowing Joaquin brought the character under a new light with his phenomenal performance. Todd Phillips and Joaquin Phoenix have really outdone themselves with this new take on The Joker. Joaquin and Todd bring a whole new aspect to Joker that has never really been talked about before, tackling the issue and importance of mental illness and a few other problems with modern society. And to address all the fear-mongering the media throws towards this movie, ignore it. Most of it isn't even relevant towards the actual movie and much of it are lies. I couldn't recommend another movie to watch over Joker. This movie will not disappoint. In fact, it goes above expectations (surely went over mine). Case in point, please consider giving this film a watch. I can't recommend this movie enough.6 out of 10 found this helpful.Was this review helpful?Sign into vote.Permalink"
What have i watched ?!,"A great great movie with amazing acting
Best movie in a long time .
Best movie for this year for sure .6 out of 10 found this helpful.Was this review helpful?Sign into vote.Permalink"
Brilliant,Brilliant film. It deserves all the positive reviews it's getting. Joaquin Phoenix was amazing in this. Oscar worthy performance6 out of 10 found this helpful.Was this review helpful?Sign into vote.Permalink
Masterpiece!,"There is no balance in this movie, 2 hours of chaos, you leave the movie theater in pain, without resolution. This movie might help you to accept the reality that you have been denying since you remember yourself, this movie may help you to accept yourself as you are.6 out of 10 found this helpful.Was this review helpful?Sign into vote.Permalink"
MASTERPIECE,I can't believe what happening here .. all I can say that's the movie is a masterpiece.6 out of 10 found this helpful.Was this review helpful?Sign into vote.Permalink
Crazy Good Story,"Joker was not only a fantastic story that was filled with emotion and intensity, it also portrayed mental illness as something that should be taken care of in the real world. When you watch Joker he does all these crazy things in the movie but the story isn't necessarily telling us to forgive him for his acts but more or less understanding him for what he did.The story was so well put with emotion and heart breaking agony for the main character and joker made it seem as if he couldn't take it anymore. Phoenix took his acting to a whole other level for this film and him and this film definitely deserves an Oscar6 out of 10 found this helpful.Was this review helpful?Sign into vote.Permalink"
Amazing masterpiece of 2019,"This is kind of movies you watch over and over again, the soundtrack, the vintage footage of the 70s'/80s'
And above all the acting of Juaquin phoenix ... stunning 🤡👺🤡6 out of 10 found this helpful.Was this review helpful?Sign into vote.Permalink"
Must watch if you like character study films or find mental illnesses fascinating.,"It's very interesting to watch a talented actor depict a compelling and unique character falling into madness. This kind of movie heavily depends on the actor's performance so I was worried if Joaquin could pull it off, but he really exceeded my expectations.One of those movies that I couldn't get enough of after watching it, don't think I'll get easily tired of discussing about the it and watching clips or the whole thing again.6 out of 10 found this helpful.Was this review helpful?Sign into vote.Permalink"
Outstanding performance,"The movie is too dark, awkwardness leaks in every single minute of it...However, it delivers a very clear and strong message that cannot be mistaken.The purely genuine performance of the Joker adds to its darkness & beauty.6 out of 10 found this helpful.Was this review helpful?Sign into vote.Permalink"
A must Watch!,"This is a great piece of art! The cinematography was absolutely breathtaking! Joaquin Phoenix is definitely one of the best actor period, his performance was out of this world.6 out of 10 found this helpful.Was this review helpful?Sign into vote.Permalink"
Perfection,Oscar-worthy performance by Mr. Phoenix. There's too much about this film that is perfect and unbelievable. You just need to watch it for yourself.6 out of 10 found this helpful.Was this review helpful?Sign into vote.Permalink
Perfect,Made an account just to post this review for the best movie I've ever seen in my life.6 out of 10 found this helpful.Was this review helpful?Sign into vote.Permalink
The movie of the past few years,We needed a movie like this one for a long time and we got a movie that deserves all the wait.6 out of 10 found this helpful.Was this review helpful?Sign into vote.Permalink
Cinematic Masterpiece,"Even days after watching this I literally cannot get Joker out of my head. It's one of the best films I have seen in years. It's dark, menacing, chaotic & yet beautiful. Joaquin's portrayal of Joker is simply mesmerising. His performance was chilling yet moved me to tears, just so inspiring.6 out of 10 found this helpful.Was this review helpful?Sign into vote.Permalink"
Super Performance by Joaquin Phoenix,He really deserves an Oscar for Best Actor. Astonishing performance. I am so feel in his deep character. And I am sure that this film will sweep Oscars next year. This film is Super Contender for Oscar ! 10/10 ⭐⭐⭐⭐⭐⭐⭐⭐⭐6 out of 10 found this helpful.Was this review helpful?Sign into vote.Permalink
Masterpiece,"This movie is a masterpiece. Best movie I've seen my whole life. Joaquin Phoenix is just beyond amazing, the best acting I've ever seen from any actor ever! Must see.6 out of 10 found this helpful.Was this review helpful?Sign into vote.Permalink"
What a Perfomance by Joaquin!!!,Oscar worthy! Amazing mental twisted! One of my all time favorites!6 out of 10 found this helpful.Was this review helpful?Sign into vote.Permalink
Masterclass performance & Screenplay written ever...,We all have known joker character from many movies(Especially my favorite Heath Ledger) but this one is the B!!!(I m not going to say that but hard to digest & the hype is real) Well...what a character development... Specially the transformation to JOKER... Hats off to Joaquin Phoenix.. This guy deserves an Oscar really...6 out of 10 found this helpful.Was this review helpful?Sign into vote.Permalink
I am speechless!,"Joaquin is something else I stand for him and raise my hat to his acting skills he never ever disappoint you, there's nothing I can say or describe this movie but a masterpiece. Please watch it and open your heart and embrace him he deserves it.6 out of 10 found this helpful.Was this review helpful?Sign into vote.Permalink"
A masterpiece,I went to the movie with high expectations from the overall positive reviews and it still blow my mind.Joaquin Phoenix with an Oscar worthy performance.Not to forget the absolute brilliance of the team behind the movies soundtrack.Well done. Very well done.6 out of 10 found this helpful.Was this review helpful?Sign into vote.Permalink
A hug,"I did not find a single scene that I did not like, the photography in this movie is excellent. I cried in the beginning, I only laughed 3 or 4 times (no forced jokes) and i left the cinema complete. You see the side b of gotham's past and although you can empathize with Arthur but only the politically correct thing could complain about such a jewel, it bothers them but we love it. The comic genre needs more movies like this and less comedy.6 out of 10 found this helpful.Was this review helpful?Sign into vote.Permalink"
Who's laughing now?,"Modern America is like Murray show where opinions are created for greater masses & every difference is looked upon with contempt. Such is mindless campaign to boycott a movie because it will provoke violence in a country where gun can be bought while shopping for groceries.Joker is examination of people's behavior towards those in need, sick individuals who are pushed to the margins just because they need help. While city is choking in garbage, funds are being cut on social help & medical care, elite in suits are smiling while watching Chaplin. Wayne is not different then the others and he's finally given human approach rather then all good hero that tried to save Gotham in all other creations.There are no heroes in this movie, there is no light at the end of tunnel & there is no sympathy for titular character but rather a big punch in the face from Todd Phillips to all of us who are actually living in our own Murray show day in day out without ever taking time to reflect what surrounds us.Joker is a must see movie that will make you think about times we live in, about our role in the system & the ones on top never liked ordinary thinking people. Burton took his Joker straight from comics as he fell in acid, but Phillips only needed to put his protagonist in today's world.So who's laughing now?"
A MUST WATCH!! One of the best movies of all-time,"""you are making fun of it, but it was serious to me""dem this scene still gives me chills since last night.
its rare to spot a good thriller with a decent suspense and ending nowadays, guess Christopher Nolan has raised the bar too high.but maaaan, Joaquin and Todd have just proved me wrong, Joker wasn't just great, but motha-****ingly AMAZING. The performance, cinematography, screenplay, storyline, music etc were absolutely stunning. It's not just a movie but also a whistleblower, a HUGE message to the world out there of what's still going on in our society.you can't compare Joaquin to Heath, they are both Ronaldo and Messi. If Joaquin doesn't win the Oscar and Joker doesn't win AT LEAST the best screenplay, it'll be the biggest joke of all time.Joker is something else."
